Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-02 21:56:08.755,,
First Relaxation Start,2025-01-02 21:56:08.759,,
First Relaxation End,2025-01-02 21:56:08.759,2025-01-02 21:56:11.737,2977
StroopTest Start,2025-01-02 21:56:11.737,,
StroopTest End,2025-01-02 21:56:11.737,2025-01-02 21:56:13.140,1402
MathTest Start,2025-01-02 21:56:13.141,,
MathTest End,2025-01-02 21:56:13.141,2025-01-02 21:56:14.398,1257
ImageTest Start,2025-01-02 21:56:14.399,,
ImageTest End,2025-01-02 21:56:14.399,2025-01-02 21:56:21.933,7534
Final Relaxation Start,2025-01-02 21:56:21.934,,
Final Relaxation End,2025-01-02 21:56:21.934,2025-01-02 21:56:24.623,0
Program End,2025-01-02 21:56:08.755,2025-01-02 21:56:25.675,16920
Program Start,2025-01-13 23:20:09.308,,
First Relaxation Start,2025-01-13 23:20:09.312,,
First Relaxation End,2025-01-13 23:20:09.312,2025-01-13 23:20:12.368,3055
StroopTest Start,2025-01-13 23:20:12.368,,
StroopTest End,2025-01-13 23:20:12.368,2025-01-13 23:20:14.667,2299
MathTest Start,2025-01-13 23:20:14.668,,
MathTest End,2025-01-13 23:20:14.668,2025-01-13 23:20:15.843,1175
ImageTest Start,2025-01-13 23:20:15.843,,
ImageTest End,2025-01-13 23:20:15.843,2025-01-13 23:20:17.203,1359
Final Relaxation Start,2025-01-13 23:20:17.203,,
Final Relaxation End,2025-01-13 23:20:17.203,2025-01-13 23:20:19.874,0
Program End,2025-01-13 23:20:09.308,2025-01-13 23:20:20.682,11374
Program Start,2025-01-21 17:33:29.886,,
First Relaxation Start,2025-01-21 17:33:29.890,,
First Relaxation End,2025-01-21 17:33:29.890,2025-01-21 17:33:32.752,2862
StroopTest Start,2025-01-21 17:33:32.753,,
StroopTest End,2025-01-21 17:33:32.753,2025-01-21 17:33:34.515,1762
MathTest Start,2025-01-21 17:33:34.515,,
MathTest End,2025-01-21 17:33:34.515,2025-01-21 17:33:35.558,1042
ImageTest Start,2025-01-21 17:33:35.559,,
ImageTest End,2025-01-21 17:33:35.559,2025-01-21 17:33:36.610,1050
Final Relaxation Start,2025-01-21 17:33:36.611,,
Final Relaxation End,2025-01-21 17:33:36.611,2025-01-21 17:33:40.027,0
Program End,2025-01-21 17:33:29.886,2025-01-21 17:33:42.846,12960
Program Start,2025-01-21 18:01:24.221,,
Final Relaxation Start,2025-01-21 18:01:24.225,,
Final Relaxation End,2025-01-21 18:01:24.225,2025-01-21 18:01:27.246,0
Program End,2025-01-21 18:01:24.221,2025-01-21 18:01:28.169,3948
