Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-13 11:05:39.917,,
First Relaxation Start,2025-02-13 11:05:39.922,,
First Relaxation End,2025-02-13 11:05:39.922,2025-02-13 11:05:42.688,2765
StroopTest Start,2025-02-13 11:05:42.689,,
StroopTest End,2025-02-13 11:05:42.689,2025-02-13 11:05:47.187,4498
MathTest Start,2025-02-13 11:05:47.187,,
MathTest End,2025-02-13 11:05:47.187,2025-02-13 11:05:48.145,957
ImageTest Start,2025-02-13 11:05:48.146,,
ImageTest End,2025-02-13 11:05:48.146,2025-02-13 11:05:49.063,917
Final Relaxation Start,2025-02-13 11:05:49.064,,
Final Relaxation End,2025-02-13 11:05:49.064,2025-02-13 11:05:51.514,0
Program End,2025-02-13 11:05:39.917,2025-02-13 11:05:52.055,12137
