Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 17:12:20.252,,
First Relaxation Start,2025-01-22 17:12:20.255,,
First Relaxation End,2025-01-22 17:12:20.255,2025-01-22 17:12:22.836,2580
StroopTest Start,2025-01-22 17:12:22.837,,
StroopTest End,2025-01-22 17:12:22.837,2025-01-22 17:12:24.299,1461
MathTest Start,2025-01-22 17:12:24.299,,
MathTest End,2025-01-22 17:12:24.299,2025-01-22 17:13:30.790,66491
ImageTest Start,2025-01-22 17:13:30.791,,
ImageTest End,2025-01-22 17:13:30.791,2025-01-22 17:13:38.360,7568
Final Relaxation Start,2025-01-22 17:13:38.360,,
Final Relaxation End,2025-01-22 17:13:38.360,2025-01-22 17:13:40.514,0
Program End,2025-01-22 17:12:20.252,2025-01-22 17:13:41.353,81100
