Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-25 01:41:41.415,,
First Relaxation Start,2025-02-25 01:41:41.418,,
First Relaxation End,2025-02-25 01:41:41.418,2025-02-25 01:41:44.765,3346
StroopTest Start,2025-02-25 01:41:44.765,,
StroopTest End,2025-02-25 01:41:44.765,2025-02-25 01:41:48.394,3628
MathTest Start,2025-02-25 01:41:48.394,,
MathTest End,2025-02-25 01:41:48.394,2025-02-25 01:41:53.823,5429
ImageTest Start,2025-02-25 01:41:53.824,,
ImageTest End,2025-02-25 01:41:53.824,2025-02-25 01:42:05.185,11360
Final Relaxation Start,2025-02-25 01:42:05.185,,
Final Relaxation End,2025-02-25 01:42:05.185,2025-02-25 01:42:11.855,0
