Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 15:21:19.866,,
First Relaxation Start,2025-01-22 15:21:19.870,,
First Relaxation End,2025-01-22 15:21:19.870,2025-01-22 15:21:23.693,3823
Program Start,2025-02-24 14:10:25.700,,
First Relaxation Start,2025-02-24 14:10:25.705,,
First Relaxation End,2025-02-24 14:10:25.705,2025-02-24 14:10:28.577,2872
StroopTest Start,2025-02-24 14:10:28.578,,
StroopTest End,2025-02-24 14:10:28.578,2025-02-24 14:10:30.261,1683
MathTest Start,2025-02-24 14:10:30.262,,
MathTest End,2025-02-24 14:10:30.262,2025-02-24 14:10:31.263,1000
ImageTest Start,2025-02-24 14:10:31.263,,
ImageTest End,2025-02-24 14:10:31.263,2025-02-24 14:10:32.174,911
Final Relaxation Start,2025-02-24 14:10:32.175,,
Final Relaxation End,2025-02-24 14:10:32.175,2025-02-24 14:10:34.693,0
Program Start,2025-02-24 14:23:04.174,,
Final Relaxation Start,2025-02-24 14:23:04.181,,
Final Relaxation End,2025-02-24 14:23:04.181,2025-02-24 14:23:09.202,0
Program Start,2025-02-24 14:31:10.476,,
