Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-24 14:29:16.328,,
Final Relaxation Start,2025-02-24 14:29:16.332,,
Final Relaxation End,2025-02-24 14:29:16.332,2025-02-24 14:29:20.035,0
Program Start,2025-02-24 23:50:21.478,,
First Relaxation Start,2025-02-24 23:50:21.482,,
First Relaxation End,2025-02-24 23:50:21.482,2025-02-24 23:50:24.325,2843
StroopTest Start,2025-02-24 23:50:24.326,,
StroopTest End,2025-02-24 23:50:24.326,2025-02-24 23:50:28.208,3882
MathTest Start,2025-02-24 23:50:28.208,,
MathTest End,2025-02-24 23:50:28.208,2025-02-24 23:50:28.938,729
ImageTest Start,2025-02-24 23:50:28.938,,
ImageTest End,2025-02-24 23:50:28.938,2025-02-24 23:50:29.425,486
Final Relaxation Start,2025-02-24 23:50:29.425,,
Final Relaxation End,2025-02-24 23:50:29.425,2025-02-24 23:50:32.015,0
