Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 16:49:14.161,,
First Relaxation Start,2025-01-22 16:49:14.166,,
First Relaxation End,2025-01-22 16:49:14.166,2025-01-22 16:49:16.956,2789
StroopTest Start,2025-01-22 16:49:16.957,,
StroopTest End,2025-01-22 16:49:16.957,2025-01-22 16:49:31.811,14854
MathTest Start,2025-01-22 16:49:31.812,,
MathTest End,2025-01-22 16:49:31.812,2025-01-22 16:49:32.894,1082
ImageTest Start,2025-01-22 16:49:32.895,,
ImageTest End,2025-01-22 16:49:32.895,2025-01-22 16:49:34.631,1736
Final Relaxation Start,2025-01-22 16:49:34.632,,
Final Relaxation End,2025-01-22 16:49:34.632,2025-01-22 16:49:39.538,0
Program End,2025-01-22 16:49:14.161,2025-01-22 16:49:40.869,26708
