Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-13 13:38:47.392,,
First Relaxation Start,2025-02-13 13:38:47.397,,
First Relaxation End,2025-02-13 13:38:47.397,2025-02-13 13:38:50.395,2998
StroopTest Start,2025-02-13 13:38:50.396,,
StroopTest End,2025-02-13 13:38:50.396,2025-02-13 13:39:39.601,49204
MathTest Start,2025-02-13 13:39:39.601,,
MathTest End,2025-02-13 13:39:39.601,2025-02-13 13:40:03.389,23787
ImageTest Start,2025-02-13 13:40:03.390,,
ImageTest End,2025-02-13 13:40:03.390,2025-02-13 13:40:31.056,27666
Final Relaxation Start,2025-02-13 13:40:31.057,,
Final Relaxation End,2025-02-13 13:40:31.057,2025-02-13 13:40:34.522,0
