Event,Start Time,End Time,Duration (milliseconds)
Program Start,2024-10-22 16:18:49.712,,
First Relaxation Start,2024-10-22 16:18:49.714,,
First Relaxation End,2024-10-22 16:18:49.714,2024-10-22 16:18:53.195,3481
StroopTest Start,2024-10-22 16:18:53.196,,
StroopTest End,2024-10-22 16:18:53.196,2024-10-22 16:18:55.273,2076
MathTest Start,2024-10-22 16:18:55.273,,
MathTest End,2024-10-22 16:18:55.273,2024-10-22 16:19:18.649,23375
Final Relaxation Start,2024-10-22 16:19:18.650,,
Final Relaxation End,2024-10-22 16:19:18.650,2024-10-22 16:19:22.223,0
Program End,2024-10-22 16:18:49.712,2024-10-22 16:19:22.919,33206
Program Start,2024-11-17 17:38:03.242,,
First Relaxation Start,2024-11-17 17:38:03.245,,
First Relaxation End,2024-11-17 17:38:03.245,2024-11-17 17:38:07.575,4329
StroopTest Start,2024-11-17 17:38:07.576,,
StroopTest End,2024-11-17 17:38:07.576,2024-11-17 17:41:16.808,189231
MathTest Start,2024-11-17 17:41:16.809,,
MathTest End,2024-11-17 17:41:16.809,2024-11-17 17:41:56.695,39885
ImageTest Start,2024-11-17 17:41:56.695,,
ImageTest End,2024-11-17 17:41:56.695,2024-11-17 17:42:05.626,8930
Final Relaxation Start,2024-11-17 17:42:05.626,,
Final Relaxation End,2024-11-17 17:42:05.626,2024-11-17 17:42:09.046,0
Program End,2024-11-17 17:38:03.242,2024-11-17 17:42:10.546,247304
Program Start,2025-01-02 22:11:11.431,,
First Relaxation Start,2025-01-02 22:11:11.435,,
First Relaxation End,2025-01-02 22:11:11.435,2025-01-02 22:11:18.168,6732
StroopTest Start,2025-01-02 22:11:18.169,,
StroopTest End,2025-01-02 22:11:18.169,2025-01-02 22:11:20.627,2458
MathTest Start,2025-01-02 22:11:20.627,,
MathTest End,2025-01-02 22:11:20.627,2025-01-02 22:11:21.476,848
ImageTest Start,2025-01-02 22:11:21.476,,
ImageTest End,2025-01-02 22:11:21.476,2025-01-02 22:11:23.617,2140
Final Relaxation Start,2025-01-02 22:11:23.617,,
Final Relaxation End,2025-01-02 22:11:23.617,2025-01-02 22:11:26.732,0
Program End,2025-01-02 22:11:11.431,2025-01-02 22:11:28.200,16768
Program Start,2025-02-24 15:35:06.616,,
Final Relaxation Start,2025-02-24 15:35:06.621,,
Final Relaxation End,2025-02-24 15:35:06.621,2025-02-24 15:35:09.650,0
