Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-13 10:58:15.444,,
First Relaxation Start,2025-02-13 10:58:15.449,,
First Relaxation End,2025-02-13 10:58:15.449,2025-02-13 10:58:18.866,3417
StroopTest Start,2025-02-13 10:58:18.868,,
StroopTest End,2025-02-13 10:58:18.868,2025-02-13 11:01:28.176,189308
MathTest Start,2025-02-13 11:01:28.177,,
MathTest End,2025-02-13 11:01:28.177,2025-02-13 11:01:29.085,907
ImageTest Start,2025-02-13 11:01:29.086,,
ImageTest End,2025-02-13 11:01:29.086,2025-02-13 11:01:30.920,1834
Final Relaxation Start,2025-02-13 11:01:30.920,,
Final Relaxation End,2025-02-13 11:01:30.920,2025-02-13 11:01:33.478,0
Program End,2025-02-13 10:58:15.444,2025-02-13 11:01:35.793,200348
