Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 14:56:03.548,,
First Relaxation Start,2025-01-22 14:56:03.554,,
First Relaxation End,2025-01-22 14:56:03.554,2025-01-22 14:56:08.064,4510
StroopTest Start,2025-01-22 14:56:08.064,,
StroopTest End,2025-01-22 14:56:08.064,2025-01-22 14:56:20.444,12379
MathTest Start,2025-01-22 14:56:20.444,,
MathTest End,2025-01-22 14:56:20.444,2025-01-22 14:56:24.455,4010
ImageTest Start,2025-01-22 14:56:24.455,,
ImageTest End,2025-01-22 14:56:24.455,2025-01-22 14:56:29.174,4718
Final Relaxation Start,2025-01-22 14:56:29.174,,
Final Relaxation End,2025-01-22 14:56:29.174,2025-01-22 14:56:32.803,0
Program End,2025-01-22 14:56:03.548,2025-01-22 14:56:37.473,33924
