Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-14 22:58:38.269,,
First Relaxation Start,2025-01-14 22:58:38.273,,
First Relaxation End,2025-01-14 22:58:38.273,2025-01-14 22:59:00.168,21894
StroopTest Start,2025-01-14 22:59:00.169,,
StroopTest End,2025-01-14 22:59:00.169,2025-01-14 23:00:00.158,59989
MathTest Start,2025-01-14 23:00:00.158,,
MathTest End,2025-01-14 23:00:00.158,2025-01-14 23:00:20.117,19959
ImageTest Start,2025-01-14 23:00:20.118,,
ImageTest End,2025-01-14 23:00:20.118,2025-01-14 23:01:32.360,72242
Final Relaxation Start,2025-01-14 23:01:32.362,,
Final Relaxation End,2025-01-14 23:01:32.362,2025-01-14 23:01:36.749,0
Program End,2025-01-14 22:58:38.269,2025-01-14 23:01:39.843,181574
