Event,Start Time,End Time,Duration (milliseconds)
Program Start,2024-03-20 15:28:53.382,,
First Relaxation Start,2024-03-20 15:28:53.414,,
First Relaxation End,2024-03-20 15:28:53.414,2024-03-20 15:28:58.981,5567
StroopTest Start,2024-03-20 15:28:58.982,,
StroopTest End,2024-03-20 15:28:58.982,2024-03-20 15:29:01.151,2168
MathTest Start,2024-03-20 15:29:01.153,,
MathTest End,2024-03-20 15:29:01.153,2024-03-20 15:29:02.996,1842
Video Feedback Start,2024-03-20 15:29:03.054,,
Video 1 Start,2024-03-20 15:29:16.293,,
Video 1 End,2024-03-20 15:29:16.293,2024-03-20 15:29:30.326,14033
Video 2 Start,2024-03-20 15:29:33.618,,
Video 2 End,2024-03-20 15:29:33.618,2024-03-20 15:29:49.531,15913
