Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-24 14:23:40.706,,
Final Relaxation Start,2025-02-24 14:23:40.710,,
Final Relaxation End,2025-02-24 14:23:40.710,2025-02-24 14:23:46.018,0
Program Start,2025-02-24 14:29:40.094,,
Final Relaxation Start,2025-02-24 14:29:40.097,,
Final Relaxation End,2025-02-24 14:29:40.097,2025-02-24 14:29:43.457,0
Program Start,2025-02-24 14:36:59.655,,
Final Relaxation Start,2025-02-24 14:36:59.659,,
Final Relaxation End,2025-02-24 14:36:59.659,2025-02-24 14:37:19.394,0
Program Start,2025-02-25 00:49:35.973,,
First Relaxation Start,2025-02-25 00:49:35.977,,
First Relaxation End,2025-02-25 00:49:35.977,2025-02-25 00:49:38.573,2596
StroopTest Start,2025-02-25 00:49:38.573,,
StroopTest End,2025-02-25 00:49:38.573,2025-02-25 00:49:41.448,2874
MathTest Start,2025-02-25 00:49:41.448,,
Program Start,2025-02-25 00:50:12.440,,
First Relaxation Start,2025-02-25 00:50:12.442,,
First Relaxation End,2025-02-25 00:50:12.442,2025-02-25 00:50:15.153,2710
Program Start,2025-02-25 00:53:26.599,,
First Relaxation Start,2025-02-25 00:53:26.601,,
First Relaxation End,2025-02-25 00:53:26.601,2025-02-25 00:53:29.544,2942
Program Start,2025-02-25 00:55:19.269,,
First Relaxation Start,2025-02-25 00:55:19.273,,
First Relaxation End,2025-02-25 00:55:19.273,2025-02-25 00:55:21.985,2712
Program Start,2025-02-25 00:57:54.959,,
First Relaxation Start,2025-02-25 00:57:54.962,,
First Relaxation End,2025-02-25 00:57:54.962,2025-02-25 00:57:57.700,2737
StroopTest Start,2025-02-25 00:57:57.700,,
StroopTest End,2025-02-25 00:57:57.700,2025-02-25 00:58:00.604,2903
Program Start,2025-02-25 01:35:10.733,,
First Relaxation Start,2025-02-25 01:35:10.738,,
First Relaxation End,2025-02-25 01:35:10.738,2025-02-25 01:35:13.619,2881
StroopTest Start,2025-02-25 01:35:13.620,,
StroopTest End,2025-02-25 01:35:13.620,2025-02-25 01:35:16.103,2482
Program Start,2025-02-25 01:35:23.050,,
First Relaxation Start,2025-02-25 01:35:23.052,,
First Relaxation End,2025-02-25 01:35:23.052,2025-02-25 01:35:25.844,2791
StroopTest Start,2025-02-25 01:35:25.844,,
StroopTest End,2025-02-25 01:35:25.844,2025-02-25 01:35:28.057,2212
Program Start,2025-02-25 01:36:09.931,,
First Relaxation Start,2025-02-25 01:36:09.933,,
First Relaxation End,2025-02-25 01:36:09.933,2025-02-25 01:36:12.845,2911
StroopTest Start,2025-02-25 01:36:12.845,,
StroopTest End,2025-02-25 01:36:12.845,2025-02-25 01:36:16.230,3385
Program Start,2025-02-25 01:38:34.651,,
First Relaxation Start,2025-02-25 01:38:34.654,,
First Relaxation End,2025-02-25 01:38:34.654,2025-02-25 01:38:37.358,2703
StroopTest Start,2025-02-25 01:38:37.358,,
StroopTest End,2025-02-25 01:38:37.358,2025-02-25 01:38:43.960,6601
MathTest Start,2025-02-25 01:38:43.960,,
MathTest End,2025-02-25 01:38:43.960,2025-02-25 01:39:00.815,16854
Program Start,2025-02-25 01:45:42.078,,
Cold Pressor Test Start,2025-02-25 01:45:50.241,,
CPT Initial Relaxation Start,2025-02-25 01:45:50.405,,
Cold Pressor Test End,2025-02-25 01:45:50.241,2025-02-25 01:45:55.446,5204
