Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-13 11:07:33.870,,
First Relaxation Start,2025-02-13 11:07:33.873,,
First Relaxation End,2025-02-13 11:07:33.873,2025-02-13 11:07:36.736,2863
StroopTest Start,2025-02-13 11:07:36.737,,
StroopTest End,2025-02-13 11:07:36.737,2025-02-13 11:07:44.537,7800
MathTest Start,2025-02-13 11:07:44.538,,
MathTest End,2025-02-13 11:07:44.538,2025-02-13 11:07:50.052,5514
ImageTest Start,2025-02-13 11:07:50.053,,
ImageTest End,2025-02-13 11:07:50.053,2025-02-13 11:07:51.536,1483
Final Relaxation Start,2025-02-13 11:07:51.537,,
Final Relaxation End,2025-02-13 11:07:51.537,2025-02-13 11:07:54.174,0
Program End,2025-02-13 11:07:33.870,2025-02-13 11:07:55.346,21476
Program Start,2025-02-13 11:25:07.165,,
First Relaxation Start,2025-02-13 11:25:07.169,,
First Relaxation End,2025-02-13 11:25:07.169,2025-02-13 11:25:09.850,2680
StroopTest Start,2025-02-13 11:25:09.851,,
StroopTest End,2025-02-13 11:25:09.851,2025-02-13 11:25:14.871,5020
MathTest Start,2025-02-13 11:25:14.872,,
MathTest End,2025-02-13 11:25:14.872,2025-02-13 11:25:26.133,11261
ImageTest Start,2025-02-13 11:25:26.134,,
ImageTest End,2025-02-13 11:25:26.134,2025-02-13 11:25:29.658,3523
Final Relaxation Start,2025-02-13 11:25:29.658,,
Final Relaxation End,2025-02-13 11:25:29.658,2025-02-13 11:25:32.288,0
Program End,2025-02-13 11:25:07.165,2025-02-13 11:25:33.827,26661
Program Start,2025-02-13 11:44:08.958,,
First Relaxation Start,2025-02-13 11:44:08.963,,
First Relaxation End,2025-02-13 11:44:08.963,2025-02-13 11:44:11.597,2633
StroopTest Start,2025-02-13 11:44:11.597,,
StroopTest End,2025-02-13 11:44:11.597,2025-02-13 11:44:12.969,1371
MathTest Start,2025-02-13 11:44:12.969,,
MathTest End,2025-02-13 11:44:12.969,2025-02-13 11:44:14.170,1200
ImageTest Start,2025-02-13 11:44:14.170,,
ImageTest End,2025-02-13 11:44:14.170,2025-02-13 11:44:15.273,1102
Final Relaxation Start,2025-02-13 11:44:15.273,,
Final Relaxation End,2025-02-13 11:44:15.273,2025-02-13 11:44:18.175,0
Program Start,2025-02-24 17:02:33.863,,
First Relaxation Start,2025-02-24 17:02:33.867,,
First Relaxation End,2025-02-24 17:02:33.867,2025-02-24 17:02:37.469,3601
StroopTest Start,2025-02-24 17:02:37.469,,
StroopTest End,2025-02-24 17:02:37.469,2025-02-24 17:14:37.961,720491
MathTest Start,2025-02-24 17:14:37.962,,
MathTest End,2025-02-24 17:14:37.962,2025-02-24 17:14:39.052,1090
ImageTest Start,2025-02-24 17:14:39.052,,
ImageTest End,2025-02-24 17:14:39.052,2025-02-24 17:14:39.347,295
Final Relaxation Start,2025-02-24 17:14:39.348,,
Final Relaxation End,2025-02-24 17:14:39.348,2025-02-24 17:14:41.535,0
Program Start,2025-02-24 17:56:23.417,,
First Relaxation Start,2025-02-24 17:56:23.421,,
First Relaxation End,2025-02-24 17:56:23.421,2025-02-24 17:56:26.775,3354
StroopTest Start,2025-02-24 17:56:26.776,,
