Event,Start Time,End Time,Duration (milliseconds)
Video 1 Start,2025-02-13 11:46:59.355,,
CPT Initial Relaxation Start,2025-02-13 11:47:20.258,,
Video 1 Start,2025-02-13 13:50:23.812,,
Video 1 End,2025-02-13 13:50:23.812,2025-02-13 13:50:35.135,11323
Video 1 Start,2025-02-24 14:58:45.214,,
Video 1 End,2025-02-24 14:58:45.214,2025-02-24 14:58:56.447,11232
Video 1 Start,2025-02-24 15:06:14.902,,
Video 1 End,2025-02-24 15:06:14.902,2025-02-24 15:06:18.565,3662
Video 1 Start,2025-02-24 15:20:50.431,,
Video 1 End,2025-02-24 15:20:50.431,2025-02-24 15:21:01.662,11230
Video 1 Start,2025-02-24 15:21:46.149,,
Video 1 End,2025-02-24 15:21:46.149,2025-02-24 15:21:47.360,1210
Video 1 Start,2025-03-12 17:45:38.291,,
Video 1 End,2025-03-12 17:45:38.291,2025-03-12 17:45:49.535,11243
