Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-24 14:32:21.815,,
First Relaxation Start,2025-02-24 14:32:21.817,,
First Relaxation End,2025-02-24 14:32:21.817,2025-02-24 14:32:24.992,3174
StroopTest Start,2025-02-24 14:32:24.992,,
StroopTest End,2025-02-24 14:32:24.992,2025-02-24 14:32:27.669,2676
MathTest Start,2025-02-24 14:32:27.669,,
MathTest End,2025-02-24 14:32:27.669,2025-02-24 14:32:28.467,798
ImageTest Start,2025-02-24 14:32:28.468,,
ImageTest End,2025-02-24 14:32:28.468,2025-02-24 14:32:29.385,917
Final Relaxation Start,2025-02-24 14:32:29.385,,
Final Relaxation End,2025-02-24 14:32:29.385,2025-02-24 14:32:31.837,0
