Start Time,Total Questions,Total Correct,Total Wrong,Total Miss,Total Game Time,Starting Frequency,Increase Rate,End Frequency
10/03/2023 16:54:12,10,1,1,8,20,0.5,0.015,0.6650000000000001
Date,Relative Time,Frequency,Word,Color,User Choice,Result,o
10/03/2023 16:54:17,5416,0.515,Green,green,Blue,WRONG
10/03/2023 16:54:21,8716,0.53,Yellow,yellow,Red,CORRECT
10/03/2023 16:54:23,10850,0.545,Purple,purple,MISS,MISS
10/03/2023 16:54:25,12692,0.56,Orange,orange,MISS,MISS
10/03/2023 16:54:27,14484,0.5750000000000001,Red,red,MISS,MISS
10/03/2023 16:54:28,16230,0.5900000000000001,Green,green,MISS,MISS
10/03/2023 16:54:30,17931,0.6050000000000001,Yellow,yellow,MISS,MISS
10/03/2023 16:54:32,19589,0.6200000000000001,Blue,blue,MISS,MISS
10/03/2023 16:54:33,21208,0.6350000000000001,Purple,purple,MISS,MISS
10/03/2023 16:54:35,22789,0.6500000000000001,Orange,orange,MISS,MISS
Start Time,Total Questions,Total Correct,Total Wrong,Total Miss,Total Game Time,Starting Frequency,Increase Rate,End Frequency
10/03/2023 16:54:12,10,1,1,8,20,0.5,0.015,0.6650000000000001
